,content,score,content_clean
272,archive pada hilang gara gara ada lagu yg hilang. padahal moment penting. kalo misalkan bikin fitur mending bikinnya pake konsep sama keamanan yg mumpuni juga,1,archive hilang gara gara lagu hilang momen bikin fitur mending bikin pakai konsep aman mumpuni
177,Tidak adanya fitur simpan login. Mau login ulang aja ke akun yg lama aja gk bisa sampe ngarang ngirim kode ke alamat email yg gak pernah ada apa coba . Terakhir kali mau login ke akun pertama malah gak bisa karna harus verifikasi kode ke akun yahoo padahal saya gak punya akun yahoo sekarang sama kirim kode nya ke email siapa coba kalo bisa di perbaiki di sistem login nya percuma juga aplikasi bagus tapi gak pernah terima masukan dari para orang yg mengkritik malah didiemin tolong di baca yaaaaa,1,fitur simpan login login ulang akun arang kirim kode alamat email coba kali login akun verifikasi kode akun yahoo akun yahoo kirim kode nya email coba baik sistem login nya aplikasi bagus terima masuk orang kritik didiemin tolong baca yaaaaa
279,"saya kecewa sama instagram tahun ini, akun saya mau ganti user gabisa, tambahkan bio pun gabisa juga , mohon di perbaiki bug nya yang semakij parah ini padahal saya sudah update tetep gabisa",1,kecewa instagram akun ganti user tambah bio mohon baik bug nya semakij parah update
86,"bugnya kapan di perbaiki ??? upload reels suara gak ada, buat story gak bisa udh 3bulan nih pembaruan terakhir juga sama aja. hapus app download lagi sama aja.",1,bugnya baik upload reels suara story nih baru hapus app download
281,"Kapan relss ada suaranya lagi. Padahal udah update versi terbaru. Kayaknya sinyal bagus. Hp juga ga kentang "" bgt",1,relss suara update versi baru kayak sinyal bagus hp kentang banget
270,"Aplikasi ini bagus banget.. bisa untuk komunikasi,hiburan,banyak filter² bagus , dll. Menurutku oke banget.. T.ksi",5,aplikasi bagus banget komunikasihiburanbanyak filter bagus lain turut oke banget tksi
275,Ketika meng-upload feed yang menggunakan musik tetapi saat sudah di upload musiknya hilang dan ketika saya melihat feed orang lain tidak ada lagunya di Instagram saya,2,mengupload feed musik upload musik hilang feed orang lagu instagram
0,"Aplikasi ini sungguh luar biasa! Antarmuka yang ramah pengguna membuatnya mudah digunakan, sementara fitur-fitur canggihnya memberikan pengalaman yang memuaskan. Performa aplikasi ini sangat responsif, dengan pengoptimalan yang baik untuk memastikan kelancaran penggunaan. Dari segi desain hingga fungsionalitas, aplikasi ini memenuhi kebutuhan dengan baik. Keberagaman fitur yang disediakan menambah nilai tambah, menjadikannya pilihan yang sangat baik di antara aplikasi sejenis. Overall, good!!",5,aplikasi sungguh antarmuka ramah guna buat mudah fiturfitur canggih alam muas performa aplikasi responsif optimal lancar guna segi desain fungsionalitas aplikasi penuh butuh agam fitur sedia tambah nilai jadi pilih aplikasi jenis overall good
276,"Habiss di update ig jadi gajelas kurang nyaman, masa keluar keluaran mulu tiba tiba keluar sandi di ganti tapi masuk lagi gabisa ampe masuk 2 kali baru bisa tolong di perbaiki lagi jangan bikin kecewa",3,habiss update ig nyaman keluar mulu sandi ganti masuk masuk kali tolong baik bikin kecewa
277,"Tolong bug diperbaiki, akun wii_artless tidak bisa berpromosi, kalu saya mengikuti arahan di help, nmun saat saya berikan pnjlsan muncul bug. Tolong krja yg bner",1,tolong bug baik akun wiiartless promosi ikut arah help pnjlsan muncul bug tolong kerja
269,"Kamera menghitam sendiri, kembali dari story ngefreez, edit sorotan loading nya lama bener, dan bio gua nda bisa di update !!! Makin kesini, makin yakin buat pindah apk",1,kamera hitam story ngefreez edit sorot loading nya bener bio nda update kesini pindah apk
273,"sering ngebug ,mengirim file selalu tidak bisa ,sinyal sudah bagus tapi tidak bisa terkirim. sering keluar sendiri min!! kurangnya menindak lanjuti kekerasan dalam negara yang beradar di Instagram dan mencari kebenaran dan membebaskan yang sudah menjadi hak milik!!",1,ngebug kirim file sinyal bagus kirim min kurang tindak lanjut keras negara adar instagram cari benar bebas hak milik
271,"Mantap instagram !!!! Beberapa hari yang lalu komplain tentang reels ig dari akun luar negeri gak ada malah di ganti reels akun ig lokal , tapi setelah di upgrade versi terbaru reels ig akun luar negri balik lagi Thanks developer 🤝👍👍👍🤙👍👍👍🤝",5,mantap instagram komplain reels ig akun negeri ganti reels akun ig lokal upgrade versi baru reels ig akun negeri terimakasih developer
260,"maaf coba dong tolong diperbaiki lagi fitur hapus pesan dm 😭😭, kok aku pencet hapus pesan dm malah cmn ada tulisan ""hapus untuk saya""? Trs kl dipencet, si penerima pesannya malah tetep msh ada 🥹, trs di akun ku pesannya ilang. Tolong diperbaiki lagi yaa fitur hapus pesannya, diubah kyk yg dulu aja. Terimakasih",3,maaf coba tolong baik fitur hapus pesan dm pencet hapus pesan dm cmn tulis hapus kl pencet si terima pesan akun ku pesan hilang tolong baik yaa fitur hapus pesan ubah terimakasih
301,Saya sangat kecewa sekarang udh gk bisa remix sama vidio org lain terus kalo kita buat vidio jedag jedug terus pake suara kita ituloh sekarang udh gk bisa kita masukin kegaleri bisa sih tapi gk pake lagu tolong lah diubah ig nya udh gk kaya dulu,2,kecewa remix video orang video jedag jedug pakai suara ituloh masukin galeri sih pakai lagu tolong ubah ig nya kaya
67,"Catatan di ig kenapa ilang? Musik lagu untuk story juga ga lengkap🤨🤨🤨ketika ngetik judul lagu atau penyanyi nya malah katanya""pencarian ga ada hasil""😒... Hadeeeh...Kemarin juga masih baik baik aja... Tolong di perbaiki yaa",1,catat ig hilang musik lagu story lengkapketika ngetik judul lagu nyanyi nya katanyapencarian hasil hadeeehkemarin tolong baik yaa
62,"Gatau kenapa ig makin banyak ngebug, ntah dari post pake lagu lebih dari 1 jadi gabisa, padahal dulu bisa, tema dm ga ada :(. Padahal dulu lancar lancar aja kenapa skrg jd gini ya? Terus juga klo mau post story malah gbs milih foto, cm beberapa doang yang bisa kepilih, aneh bgt makin hari makin aneh. Padahal Koneksi internet juga udah bagus, tolong di perbaiki dong, berharap banget ig kaya dulu lagi, lancar lancar aja",2,tau ig ngebug ntah post pakai lagu tema dm lancar lancar ya post story milih foto cm pilih aneh banget aneh koneksi internet bagus tolong baik harap banget ig kaya lancar lancar
278,saya sangat kecewa pas saya bangun tidur Ig sudah tidak bisa di gunakan padahal awalnya gapapa trus saya coba login akun ternyata ga bisa semua padahal hanya 1 perangkat saja yang saya pke,1,kecewa pas bangun tidur ig apa coba login akun perangkat pakai
383,"Aplikasi super jelek,,musik pada gak ada,filter pada gak ada,tugas pekerja instagram apa aj sampe sampe gak ada,musik nya ilang,filter jadi ilang",1,aplikasi super jelekmusik adafilter adatugas kerja instagram adamusik nya ilangfilter hilang
70,"ini kenapa setelah di update malah kaya gini ya? dulu sebelum di update bisa2 aja tuh lihat reels yang disarankan kenapa sekarang ga bisa di klik?? kesel banget karena saya biasa lihat2 reels yang disarankan karena ada yang bagus eh inj malah ga bisa di klik, TOLONG DIPERBAIKI LAGIII!!!",2,update kaya ya update tuh lihat reels saran klik kesel banget lihat reels saran bagus eh inj klik tolong baik lagiii
105,"Bentar deh, saya mau buat sorotan, tapi story yang saya mau buat itu tidak ada di pilihan sorotan, malah ada story yang dulu sekali, padahal story yg saya mau tersebut sudah lewat 24 jam, banyak story yang lain yang sudah-sudah menghilang semua gak bisa dibuat sorotan, ini gmna? Saya butuh solusi! Masa cuma itu-itu saja (pilihannya gak berubah dari zaman kapan) capek saya. Gak bisa dirubah gitu pilihannya akan selalu bgtu? 🤦",1,bentar deh sorot story pilih sorot story story jam story sudahsudah hilang sorot butuh solusi ituitu pilih ubah zaman capek rubah pilih
