word,topic_id,importance,word_count
post,14,0.0333694,21
jam,14,0.03161668,17
lihat,14,0.031268615,41
viewers,14,0.025539398,3
ni,14,0.024773553,12
aneh,14,0.020911092,40
ponsel,14,0.017128555,4
terupdate,14,0.017128555,5
banget,14,0.017128356,142
bug,14,0.012137637,121
nya,12,0.024553254,267
baik,12,0.024553219,261
tolong,12,0.023906253,252
aplikasi,12,0.01846558,124
bintang,12,0.018465128,23
baru,12,0.018036518,46
instagram,12,0.014887138,311
cerita,12,0.014827871,16
musik,12,0.012378633,277
update,12,0.012378345,198
aplikasi,16,0.056527164,124
filter,16,0.045080855,100
nya,16,0.028856551,267
ni,16,0.022763934,12
rusak,16,0.022677656,8
developer,16,0.022465285,11
semenjak,16,0.020316917,13
sih,16,0.017774545,56
baik,16,0.016327552,261
hitam,16,0.015284738,8
coba,25,0.032909956,57
ubah,25,0.032441225,39
video,25,0.025599869,91
password,25,0.020415403,8
akun,25,0.019183021,144
suka,25,0.017030729,56
ganti,25,0.016999092,26
nyaman,25,0.014966545,33
kali,25,0.014121391,51
muncul,25,0.013647817,114
instagram,15,0.04197337,311
aplikasi,15,0.033742066,124
story,15,0.025747713,180
update,15,0.025738467,198
fitur,15,0.022918433,90
pakai,15,0.021938829,163
foto,15,0.02040597,127
baik,15,0.019891238,261
akun,15,0.018183539,144
teman,15,0.016655559,15
nya,7,0.05070753,267
bug,7,0.023589117,121
hp,7,0.022463165,47
banget,7,0.021848861,142
akun,7,0.02156432,144
update,7,0.016657498,198
baik,7,0.01642317,261
hilang,7,0.01456667,72
tolong,7,0.014494951,252
bagus,7,0.013675078,82
filter,2,0.08632721,100
instagram,2,0.050842367,311
ig,2,0.04672683,169
baik,2,0.03661584,261
tolong,2,0.034153495,252
nya,2,0.029514538,267
kamera,2,0.021222865,30
bug,2,0.0212038,121
muka,2,0.018489894,15
ku,2,0.0178145,22
musik,17,0.06581285,277
instagram,17,0.039052464,311
cari,17,0.034342885,82
update,17,0.034118794,198
akun,17,0.030363152,144
baik,17,0.018022528,261
lagu,17,0.016299102,286
fitur,17,0.015220936,90
video,17,0.014949525,91
temu,17,0.013396578,38
nya,24,0.050675344,267
instagram,24,0.029607482,311
update,24,0.025393613,198
fitur,24,0.01815005,90
mohon,24,0.015097399,65
baik,24,0.015038743,261
musik,24,0.014197154,277
akun,24,0.014032877,144
pakai,24,0.013615985,163
apk,24,0.012086446,32
foto,11,0.09587654,127
galeri,11,0.07267379,55
simpan,11,0.062015038,60
video,11,0.041602276,91
ig,11,0.03841307,169
masuk,11,0.037112154,49
baik,11,0.027428698,261
instagram,11,0.025521189,311
nya,11,0.021033596,267
mohon,11,0.019855166,65
